Date,Open,High,Low,Close,Adj Close,Volume
2020-05-06,0.155341,0.157392,0.146339,0.154729,0.154729,14416748
2020-05-07,0.154896,0.170075,0.149437,0.163853,0.163853,12094474
2020-05-08,0.163839,0.168065,0.158318,0.163887,0.163887,9260809
2020-05-09,0.163803,0.168752,0.156391,0.158209,0.158209,6902590
2020-05-10,0.158147,0.158147,0.134916,0.141710,0.141710,8641087
2020-05-11,0.141826,0.148925,0.135293,0.147200,0.147200,7325468
2020-05-12,0.147210,0.184552,0.147149,0.178070,0.178070,30747367
2020-05-13,0.178070,0.181195,0.165093,0.171843,0.171843,14201177
2020-05-14,0.171687,0.171777,0.161330,0.166667,0.166667,10688547
2020-05-15,0.166763,0.195623,0.166763,0.192218,0.192218,23422486
2020-05-16,0.192095,0.195690,0.180321,0.182177,0.182177,12099634
2020-05-17,0.182177,0.194510,0.182007,0.191692,0.191692,8754209
2020-05-18,0.191620,0.192128,0.184088,0.191984,0.191984,8807066
2020-05-19,0.192942,0.231141,0.188263,0.216595,0.216595,23881569
2020-05-20,0.216512,0.283284,0.215685,0.277680,0.277680,78367275
2020-05-21,0.277590,0.325605,0.240959,0.263520,0.263520,135309467
2020-05-22,0.263603,0.278445,0.246710,0.268019,0.268019,40215566
2020-05-23,0.268169,0.307092,0.261875,0.303333,0.303333,36433710
2020-05-24,0.302703,0.382643,0.302458,0.348897,0.348897,109537371
2020-05-25,0.348046,0.373869,0.332865,0.352901,0.352901,73111260
2020-05-26,0.353276,0.461607,0.347894,0.416597,0.416597,158518886
2020-05-27,0.416597,0.554932,0.342068,0.369956,0.369956,214632992
2020-05-28,0.367603,0.375092,0.320499,0.320920,0.320920,112711981
2020-05-29,0.320945,0.332452,0.302618,0.310412,0.310412,90721993
2020-05-30,0.310671,0.311833,0.284073,0.287444,0.287444,48795058
2020-05-31,0.287444,0.289565,0.242975,0.247535,0.247535,54667553
2020-06-01,0.247448,0.289996,0.244851,0.268312,0.268312,65340696
2020-06-02,0.269124,0.280724,0.242659,0.253313,0.253313,45081840
2020-06-03,0.253313,0.278714,0.250561,0.275430,0.275430,31764046
2020-06-04,0.275793,0.292677,0.270766,0.283861,0.283861,44531538
2020-06-05,0.283861,0.301852,0.279305,0.282974,0.282974,33737095
2020-06-06,0.282974,0.282978,0.270686,0.270686,0.270686,19744807
2020-06-07,0.270686,0.270938,0.252522,0.266437,0.266437,28620335
2020-06-08,0.266520,0.266873,0.253036,0.254228,0.254228,19891210
2020-06-09,0.255082,0.257868,0.249010,0.253912,0.253912,17674826
2020-06-10,0.253553,0.253925,0.237355,0.239507,0.239507,18776199
2020-06-11,0.239507,0.249527,0.204968,0.205743,0.205743,28801124
2020-06-12,0.205162,0.259604,0.200921,0.251492,0.251492,59949837
2020-06-13,0.252015,0.270426,0.248122,0.252915,0.252915,53250034
2020-06-14,0.252809,0.252809,0.229432,0.232373,0.232373,26217581
2020-06-15,0.232373,0.238884,0.211954,0.235092,0.235092,28395311
2020-06-16,0.234718,0.237957,0.226296,0.234781,0.234781,16750399
2020-06-17,0.234746,0.238781,0.226362,0.234481,0.234481,19400602
2020-06-18,0.234481,0.234623,0.219715,0.223828,0.223828,17647613
2020-06-19,0.224169,0.234856,0.221568,0.222525,0.222525,21220567
2020-06-20,0.222525,0.225830,0.219169,0.222062,0.222062,9070164
2020-06-21,0.221936,0.226398,0.220379,0.221413,0.221413,8864867
2020-06-22,0.221313,0.241176,0.220001,0.241125,0.241125,25061865
2020-06-23,0.241246,0.257845,0.240614,0.257003,0.257003,38065639
2020-06-24,0.257098,0.262001,0.236641,0.245853,0.245853,27338939
2020-06-25,0.246109,0.246405,0.230439,0.237360,0.237360,15293910
2020-06-26,0.237222,0.237491,0.226997,0.231716,0.231716,12043366
2020-06-27,0.231935,0.234913,0.203963,0.211883,0.211883,15359334
2020-06-28,0.211883,0.224824,0.210983,0.224427,0.224427,14045737
2020-06-29,0.224427,0.227850,0.218797,0.226560,0.226560,12881598
2020-06-30,0.226153,0.228763,0.220130,0.221877,0.221877,9011676
2020-07-01,0.221719,0.226952,0.217922,0.222187,0.222187,7365316
2020-07-02,0.222044,0.225306,0.217924,0.222546,0.222546,8688033
2020-07-03,0.222444,0.222444,0.216311,0.217507,0.217507,6422262
2020-07-04,0.217444,0.223533,0.214275,0.222882,0.222882,9039639
2020-07-05,0.222839,0.223338,0.213835,0.216862,0.216862,7298093
2020-07-06,0.216862,0.232146,0.216407,0.229716,0.229716,13142973
2020-07-07,0.229580,0.256303,0.227295,0.256303,0.256303,25824152
2020-07-08,0.256210,0.262881,0.245725,0.250787,0.250787,26851506
2020-07-09,0.250852,0.250885,0.236213,0.241663,0.241663,14785092
2020-07-10,0.241697,0.242138,0.231024,0.242138,0.242138,11022232
2020-07-11,0.242718,0.257037,0.242718,0.253932,0.253932,18393393
2020-07-12,0.253885,0.281774,0.253843,0.277429,0.277429,43487045
2020-07-13,0.277429,0.279001,0.228641,0.245576,0.245576,36694211
2020-07-14,0.245269,0.253375,0.234631,0.241147,0.241147,25382521
2020-07-15,0.240993,0.242613,0.233170,0.236824,0.236824,15779802
2020-07-16,0.236848,0.244112,0.222383,0.233589,0.233589,20915846
2020-07-17,0.233463,0.244327,0.229840,0.240868,0.240868,13921504
2020-07-18,0.240833,0.251845,0.237155,0.248015,0.248015,14297535
2020-07-19,0.247938,0.249422,0.235099,0.240381,0.240381,13498233
2020-07-20,0.240330,0.241792,0.232727,0.236436,0.236436,12066111
2020-07-21,0.236405,0.241481,0.232159,0.239118,0.239118,11585145
2020-07-22,0.239189,0.255750,0.238934,0.255415,0.255415,17165515
2020-07-23,0.255491,0.263980,0.254473,0.257951,0.257951,19848722
2020-07-24,0.257888,0.258224,0.246606,0.250644,0.250644,14383332
2020-07-25,0.250765,0.262723,0.249862,0.259251,0.259251,14107408
2020-07-26,0.259107,0.260663,0.247859,0.250728,0.250728,16499942
2020-07-27,0.250700,0.251527,0.226814,0.241882,0.241882,26754029
2020-07-28,0.241653,0.251383,0.240280,0.251149,0.251149,13191271
2020-07-29,0.251078,0.259436,0.247316,0.249114,0.249114,14215770
2020-07-30,0.248645,0.258542,0.246499,0.257692,0.257692,11663006
2020-07-31,0.257682,0.271263,0.250375,0.268849,0.268849,25159665
2020-08-01,0.268849,0.320048,0.265854,0.314264,0.314264,73967678
2020-08-02,0.314939,0.318486,0.269831,0.279707,0.279707,39779369
2020-08-03,0.279643,0.296623,0.278073,0.287950,0.287950,20857210
2020-08-04,0.287947,0.337537,0.287811,0.330941,0.330941,55984871
2020-08-05,0.331266,0.339502,0.309038,0.314147,0.314147,42300849
